Applicant,ADMIT,GRE,GPA,RANK
1001,NO,380,3.61,3
1002,YES,660,3.67,3
1003,YES,800,4,1
1004,YES,640,3.19,4
1005,NO,520,2.93,4
1006,YES,760,3,2
1007,YES,560,2.98,1
1008,NO,400,3.08,2
1009,YES,540,3.39,3
1010,NO,700,3.92,2
1011,NO,800,4,4
1012,NO,440,3.22,1
1013,YES,760,4,1
1014,NO,700,3.08,2
1015,YES,700,4,1
1016,NO,480,3.44,3
1017,NO,780,3.87,4
1018,NO,360,2.56,3
1019,NO,800,3.75,2
1020,YES,540,3.81,1
1021,NO,500,3.17,3
1022,YES,660,3.63,2
1023,NO,600,2.82,4
1024,NO,680,3.19,4
1025,YES,760,3.35,2
1026,YES,800,3.66,1
1027,YES,620,3.61,1
1028,YES,520,3.74,4
1029,YES,780,3.22,2
1030,NO,520,3.29,1
1031,NO,540,3.78,4
1032,NO,760,3.35,3
1033,NO,600,3.4,3
1034,YES,800,4,3
1035,NO,360,3.14,1
1036,NO,400,3.05,2
1037,NO,580,3.25,1
1038,NO,520,2.9,3
1039,YES,500,3.13,2
1040,YES,520,2.68,3
1041,NO,560,2.42,2
1042,YES,580,3.32,2
1043,YES,600,3.15,2
1044,NO,500,3.31,3
1045,NO,700,2.94,2
1046,YES,460,3.45,3
1047,YES,580,3.46,2
1048,NO,500,2.97,4
1049,NO,440,2.48,4
1050,NO,400,3.35,3
1051,NO,640,3.86,3
1052,NO,440,3.13,4
1053,NO,740,3.37,4
1054,YES,680,3.27,2
1055,NO,660,3.34,3
1056,YES,740,4,3
1057,NO,560,3.19,3
1058,NO,380,2.94,3
1059,NO,400,3.65,2
1060,NO,600,2.82,4
1061,YES,620,3.18,2
1062,NO,560,3.32,4
1063,NO,640,3.67,3
1064,YES,680,3.85,3
1065,NO,580,4,3
1066,NO,600,3.59,2
1067,NO,740,3.62,4
1068,NO,620,3.3,1
1069,NO,580,3.69,1
1070,NO,800,3.73,1
1071,NO,640,4,3
1072,NO,300,2.92,4
1073,NO,480,3.39,4
1074,NO,580,4,2
1075,NO,720,3.45,4
1076,NO,720,4,3
1077,NO,560,3.36,3
1078,YES,800,4,3
1079,NO,540,3.12,1
1080,YES,620,4,1
1081,NO,700,2.9,4
1082,NO,620,3.07,2
1083,NO,500,2.71,2
1084,NO,380,2.91,4
1085,YES,500,3.6,3
1086,NO,520,2.98,2
1087,NO,600,3.32,2
1088,NO,600,3.48,2
1089,NO,700,3.28,1
1090,YES,660,4,2
1091,NO,700,3.83,2
1092,YES,720,3.64,1
1093,NO,800,3.9,2
1094,NO,580,2.93,2
1095,YES,660,3.44,2
